"variable","p_value","r2","f_statistic","method","p_adj_bh"
"month",0.044,0.0340914982115882,2.54122193426148,"Weighted UniFrac PERMANOVA",0.165
"tl_cm",0.045,0.0328288315957735,2.44390646879561,"Weighted UniFrac PERMANOVA",0.165
"dist_to_dorsal_cm",0.048,0.0389338317987626,2.79526476219908,"Weighted UniFrac PERMANOVA",0.165
"host_height",0.051,0.0328288315957735,2.44390646879561,"Weighted UniFrac PERMANOVA",0.165
"fl_cm",0.055,0.0342734862363999,2.55526898542299,"Weighted UniFrac PERMANOVA",0.165
"mass_g",0.132,0.0223519073581752,1.64613150877206,"Weighted UniFrac PERMANOVA",0.33
"host_body_mass_index",0.232,0.0187380180784926,1.37490020657846,"Weighted UniFrac PERMANOVA",0.497142857142857
"ratio_gi_to_tl",0.318,0.0151623292636328,1.07770354444374,"Weighted UniFrac PERMANOVA",0.59625
"gi_cm",0.451,0.0131596794569765,0.933461617662176,"Weighted UniFrac PERMANOVA",0.751666666666667
"ratio_gape_to_tl",0.511,0.0119287525674402,0.845093592077031,"Weighted UniFrac PERMANOVA",0.7665
"ratio_dorsal_to_tl",0.657,0.00948994318389587,0.661079688371488,"Weighted UniFrac PERMANOVA",0.895909090909091
"gape_cm",0.756,0.00767363691842957,0.541308388322961,"Weighted UniFrac PERMANOVA",0.936923076923077
"method_gear",0.812,0.0515116876912167,0.73860578302253,"Weighted UniFrac PERMANOVA",0.936923076923077
"host_height_vs_max_height_tl",0.954,0.00280424258720046,0.202473250389946,"Weighted UniFrac PERMANOVA",0.964
"swim_performance",0.964,0.0349714990672339,0.49284802143633,"Weighted UniFrac PERMANOVA",0.964
