"variable","p_value","r2","f_statistic","method","p_adj_bh"
"mass_g",0.012,0.0798705279484945,5.03460736963914,"Weighted UniFrac PERMANOVA",0.15
"tl_cm",0.02,0.0461057372730817,2.85171911123085,"Weighted UniFrac PERMANOVA",0.15
"host_height_vs_max_height_tl",0.133,0.0242883924487178,1.46868720571107,"Weighted UniFrac PERMANOVA",0.585
"dist_to_dorsal_cm",0.198,0.0237715172758563,1.33926992841238,"Weighted UniFrac PERMANOVA",0.585
"method_gear",0.214,0.0961333787063094,1.21248034990312,"Weighted UniFrac PERMANOVA",0.585
"ratio_dorsal_to_tl",0.234,0.0227270655796758,1.27905783825233,"Weighted UniFrac PERMANOVA",0.585
"gi_cm",0.355,0.0191055986459045,1.12970847823448,"Weighted UniFrac PERMANOVA",0.760714285714286
"ratio_gi_to_tl",0.502,0.015523169544935,0.914540399279944,"Weighted UniFrac PERMANOVA",0.94125
"fl_cm",0.726,0.0117510992253157,0.677777283959468,"Weighted UniFrac PERMANOVA",1
"host_height",0.828,0.00812458950036508,0.466894931176419,"Weighted UniFrac PERMANOVA",1
"swim_performance",0.839,0.0606967988501466,0.736656178797883,"Weighted UniFrac PERMANOVA",1
"gape_cm",0.935,0.00860050107498477,0.485806237264979,"Weighted UniFrac PERMANOVA",1
"month",0.958,0.00346341299688366,0.212002444832708,"Weighted UniFrac PERMANOVA",1
"host_body_mass_index",0.991,-0.00301746227384168,-0.168469536863357,"Weighted UniFrac PERMANOVA",1
"ratio_gape_to_tl",1,-0.00926652888390066,-0.514161128549751,"Weighted UniFrac PERMANOVA",1
